image,idx,digit,f1_area_ratio,f2_rect_fill_ratio,f3_bbox_aspect,f4_holes,f5_euler,f6_compactness_p2_over_a,f7_sym_left_right,f8_sym_up_down,f9_thickness_norm,f10_proj_row_over_col,f11_hu1_log,f12_hu2_log,f13_hu3_log,f14_hu4_log
im1,0,8,0.04056122526526451,0.49074074625968933,1.0,2.0,-1.0,36.32704544067383,0.3589743673801422,0.32499998807907104,0.22486424446105957,1.0714284181594849,-0.5991525053977966,-1.7350873947143555,-3.623353958129883,-4.1323323249816895
im1,1,5,0.026530612260103226,0.4126984179019928,0.5714285969734192,0.0,1.0,41.88461685180664,0.2235294133424759,0.3248407542705536,0.24259816110134125,0.8461537957191467,-0.37109464406967163,-1.1417986154556274,-1.8049455881118774,-2.0029499530792236
im1,2,7,0.021173469722270966,0.3192307651042938,0.6499999761581421,0.0,1.0,35.132530212402344,0.38333332538604736,0.18571428954601288,0.2742396295070648,1.2999998331069946,-0.2997308373451233,-0.9668386578559875,-1.0548832416534424,-1.5601657629013062
im1,3,2,0.03035714291036129,0.31481480598449707,0.8571428656578064,1.0,0.0,53.78151321411133,0.1782178282737732,0.17241379618644714,0.22032442688941956,1.2999998331069946,-0.22901950776576996,-0.7303529381752014,-2.173969030380249,-2.914071559906006
im1,4,7,0.0346938781440258,0.3636363744735718,0.7727272510528564,1.0,0.0,34.0,0.3668341636657715,0.20353981852531433,0.24659354984760284,1.230769157409668,-0.38732436299324036,-1.2173563241958618,-1.4064772129058838,-2.1330127716064453
im10,0,5,0.02500000037252903,0.3034055829048157,1.1176470518112183,0.0,1.0,41.79591751098633,0.21739129722118378,0.1878787875175476,0.24121128022670746,0.8333332538604736,-0.3779164254665375,-1.07333505153656,-2.86737322807312,-3.9857075214385986
im10,1,4,0.033673468977212906,0.523809552192688,0.7777777910232544,2.0,-1.0,29.121212005615234,0.5,0.517241358757019,0.2558121979236603,0.7999999523162842,-0.6562241315841675,-2.082350254058838,-2.8680949211120605,-4.023202896118164
im10,2,6,0.03214285895228386,0.4038461446762085,0.5416666865348816,1.0,0.0,48.28571319580078,0.4157303273677826,0.17757008969783783,0.2318197786808014,0.9230768084526062,-0.44957444071769714,-1.3234200477600098,-1.8995821475982666,-2.2362701892852783
im10,3,5,0.035969387739896774,0.530075192451477,0.7368420958518982,0.0,1.0,51.24113464355469,0.5666666626930237,0.4029850661754608,0.22021229565143585,0.928571343421936,-0.4608784317970276,-1.7071179151535034,-4.086297512054443,-3.8995635509490967
im10,4,9,0.03341836854815483,0.49248120188713074,0.7368420958518982,1.0,0.0,51.328243255615234,0.4555555582046509,0.43169400095939636,0.2172902524471283,0.7999999523162842,-0.48075610399246216,-1.9145793914794922,-2.51857328414917,-3.4807050228118896
im2,0,8,0.04183673486113548,0.5359477400779724,0.9444444179534912,2.0,-1.0,40.00609588623047,0.35537189245224,0.3442623019218445,0.22145971655845642,0.8666665554046631,-0.605705201625824,-1.8048278093338013,-4.025299549102783,-4.460359573364258
im2,1,5,0.044897958636283875,0.39909297227859497,1.0,0.0,1.0,49.14204406738281,0.2616487443447113,0.22648084163665771,0.20781627297401428,1.1428569555282593,-0.45763012766838074,-1.5300219058990479,-2.6030306816101074,-3.783761978149414
im2,2,4,0.03137755021452904,0.38080495595932007,0.8947368264198303,1.0,0.0,33.300811767578125,0.45562130212783813,0.39772728085517883,0.24714010953903198,0.9999999403953552,-0.608874499797821,-2.128340721130371,-2.7433013916015625,-4.174191951751709
im2,3,9,0.03316326439380646,0.4887218177318573,0.7368420958518982,1.0,0.0,34.53076934814453,0.4285714328289032,0.34020617604255676,0.24321554601192474,0.7499999403953552,-0.5892676711082458,-2.3995509147644043,-2.2956533432006836,-3.5646800994873047
im2,4,1,0.015051020309329033,0.32777777314186096,0.800000011920929,0.0,1.0,21.966102600097656,0.1568627506494522,0.12380952388048172,0.32414510846138,1.1428570747375488,-0.3611602187156677,-0.824301540851593,-2.2079405784606934,-2.6248068809509277
im3,0,3,0.026020407676696777,0.42500001192092896,0.9375,0.0,1.0,56.6274528503418,0.2142857164144516,0.20000000298023224,0.22121278941631317,0.8333332538604736,-0.4432315230369568,-1.5024796724319458,-2.982881546020508,-3.277383327484131
im3,1,6,0.03520408272743225,0.4058823585510254,0.8500000238418579,1.0,0.0,51.130435943603516,0.2545454502105713,0.18965516984462738,0.21520157158374786,1.0909090042114258,-0.46911418437957764,-1.4095721244812012,-2.5822525024414062,-3.1692192554473877
im3,2,1,0.02270408160984516,0.390350878238678,0.6315789222717285,0.0,1.0,24.82022476196289,0.20270270109176636,0.21917808055877686,0.29816386103630066,0.5333333015441895,-0.36135995388031006,-0.831980288028717,-2.168644905090332,-2.6969590187072754
im3,3,4,0.02806122414767742,0.34375,0.800000011920929,0.0,1.0,30.581817626953125,0.39240506291389465,0.44736841320991516,0.27388983964920044,0.882352888584137,-0.570366621017456,-2.2367372512817383,-2.6503098011016846,-4.040584564208984
im3,4,2,0.037244897335767746,0.4424242377281189,0.6818181872367859,0.0,1.0,42.74657440185547,0.3581395447254181,0.29203540086746216,0.2230406254529953,0.8749999403953552,-0.3580665588378906,-1.190696358680725,-2.817187786102295,-3.453416347503662
im4,0,8,0.05765306204557419,0.6550724506378174,0.6521739363670349,2.0,-1.0,36.64159393310547,0.7865612506866455,0.6992481350898743,0.20651187002658844,0.6999999284744263,-0.6129412055015564,-2.0007545948028564,-4.89809513092041,-5.026671409606934
im4,1,5,0.05637755244970322,0.6005434989929199,0.695652186870575,0.0,1.0,44.34841537475586,0.625,0.47333332896232605,0.20459102094173431,0.7368420362472534,-0.5345283150672913,-1.7512463331222534,-4.11492395401001,-4.030722141265869
im4,2,5,0.033673468977212906,0.38823530077934265,0.8500000238418579,0.0,1.0,32.00757598876953,0.375,0.2222222238779068,0.25447678565979004,0.8571428060531616,-0.4688550531864166,-1.2171355485916138,-1.9768239259719849,-2.377016305923462
im4,3,9,0.024234693497419357,0.4523809552192688,0.9333333373069763,1.0,0.0,40.463157653808594,0.37681159377098083,0.3194444477558136,0.2501678764820099,0.9999998807907104,-0.5693333148956299,-1.7684015035629272,-2.7730870246887207,-3.573958158493042
